PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Castanedo, Federico; Lopez-de-Ipina, Diego; Aghajan, Hamid K.; Kleihorst, Richard				Lopez-de-Ipina, Diego/A-9651-2012	Lopez-de-Ipina, Diego/0000-0001-8055-6823			Learning routines over long-term sensor data using topic models								EXPERT SYSTEMS				31	4	SI		365	377		10.1111/exsy.12033					SEP 2014	2014										6	0	0	0	0	6			0266-4720	1468-0394		WOS:000342812800007		
J	Kallianpur, A. R.; Levine, Andrew J.								Host Genetic Factors Predisposing to HIV-Associated Neurocognitive Disorder								CURRENT HIV/AIDS REPORTS				11	3			336	352		10.1007/s11904-014-0222-z					SEP 2014	2014										18	0	0	12	0	18			1548-3568	1548-3576		WOS:000340368500015	24996618	
J	Zieselman, Amanda L.; Fisher, Jonathan M.; Hu, Ting; Andrews, Peter C.; Greene, Casey S.; Shen, Li; Saykin, Andrew J.; Moore, Jason H.		Alzheimer's Dis Neuroimaging		Greene, Casey/L-2057-2015; Saykin, Andrew/A-1318-2007	Greene, Casey/0000-0001-8713-9213; Shen, Li/0000-0002-5443-0503; Saykin, Andrew/0000-0002-1376-8532; Moore, Jason/0000-0002-5015-1099			Computational genetics analysis of grey matter density in Alzheimer's disease								BIODATA MINING				7						17	10.1186/1756-0381-7-17					AUG 22 2014	2014										4	0	0	2	0	4			1756-0381			WOS:000341160600001	25165488	
J	Li, Muwei; Oishi, Kenichi; He, Xiaohai; Qin, Yuanyuan; Gao, Fei; Mori, Susumu		Alzheimer's Dis Neuroimaging		qin, yuanyuan/G-4351-2010	qin, yuanyuan/0000-0002-0673-3200			An Efficient Approach for Differentiating Alzheimer's Disease from Normal Elderly Based on Multicenter MRI Using Gray-Level Invariant Features								PLOS ONE				9	8					e105563	10.1371/journal.pone.0105563					AUG 20 2014	2014										0	0	0	0	0	0			1932-6203			WOS:000342687200099	25140532	
J	Blanc, Xavier; Collet, Tinh-Hai; Auer, Reto; Fischer, Roland; Locatelli, Isabella; Iriarte, Pablo; Krause, Jan; Legare, France; Cornuz, Jacques				Iriarte, Pablo/B-1152-2008; Legare, France/O-6971-2017	Iriarte, Pablo/0000-0003-0796-3275; Collet, Tinh-Hai/0000-0002-3243-1222; Krause, Jan/0000-0001-9375-2102			Publication trends of shared decision making in 15 high impact medical journals: a full-text review with bibliometric analysis								BMC MEDICAL INFORMATICS AND DECISION MAKING				14						71	10.1186/1472-6947-14-71					AUG 9 2014	2014										8	0	0	1	0	8			1472-6947			WOS:000341056300003	25106844	
J	Rogers, Timothy T.; McClelland, James L.					McClelland, James/0000-0002-8217-405X			Parallel Distributed Processing at 25: Further Explorations in the Microstructure of Cognition								COGNITIVE SCIENCE				38	6	SI		1024	1077		10.1111/cogs.12148					AUG 2014	2014										28	0	0	5	1	28			0364-0213	1551-6709		WOS:000340557000002	25087578	
J	Seixas, Flavio Luiz; Zadrozny, Bianca; Laks, Jerson; Conci, Aura; Muchaluat Saade, Debora Christina					Seixas, Flavio/0000-0002-7160-0818			A Bayesian network decision model for supporting the diagnosis of dementia, Alzheimer's disease and mild cognitive impairment								COMPUTERS IN BIOLOGY AND MEDICINE				51				140	158		10.1016/j.compbiomed.2014.04.010					AUG 1 2014	2014										40	1	0	13	0	41			0010-4825	1879-0534		WOS:000340018800015	24946259	
J	Cassol, Edana; Misra, Vikas; Dutta, Anupriya; Morgello, Susan; Gabuzda, Dana								Cerebrospinal fluid metabolomics reveals altered waste clearance and accelerated aging in HIV patients with neurocognitive impairment								AIDS				28	11			1579	1591		10.1097/QAD.0000000000000303					JUL 17 2014	2014										41	2	0	32	0	42			0269-9370	1473-5571		WOS:000338645000004	24752083	
J	Farruggia, Alfonso; Magro, Rosario; Vitabile, Salvatore				Vitabile, Salvatore/F-6323-2013	Vitabile, Salvatore/0000-0002-2673-8551			A text based indexing system for mammographic image retrieval and classification								FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING AND ESCIENCE				37				243	251		10.1016/j.future.2014.02.008					JUL 2014	2014										12	0	0	1	0	12			0167-739X	1872-7115		WOS:000337931200023		
J	Frantzidis, Christos A.; Ladas, Aristea-Kiriaki I.; Vivas, Ana B.; Tsolaki, Magda; Bamidis, Panagiotis D.					Bamidis, Panagiotis/0000-0002-9936-5805			Cognitive and physical training for the elderly: Evaluating outcome efficacy by means of neurophysiological synchronization								INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY				93	1			1	11		10.1016/j.ijpsycho.2014.01.007					JUL 2014	2014										23	0	0	15	0	23			0167-8760	1872-7697		WOS:000339138100002	24472698	
J	Tong, Tong; Wolz, Robin; Ga, Qinquan; Guerrero, Ricardo; Hajnal, Joseph V.; Rueckert, Daniel		Alzheimer's Dis Neuroimaging Initi			Rueckert, Daniel/0000-0002-5683-5889			Multiple instance learning for classification of dementia in brain MRI								MEDICAL IMAGE ANALYSIS				18	5			808	818		10.1016/j.media.2014.04.006					JUL 2014	2014										44	2	0	18	0	46			1361-8415	1361-8423		WOS:000337875700009	24858570	
J	Zargoush, Manaf; Alemi, Farrokh; Vinzi, Vinzenzo Esposito; Vang, Jee; Kheirbek, Raya				Kheirbek, Raya/P-6018-2018	Kheirbek, Raya/0000-0003-0755-1940; Esposito Vinzi, Vincenzo/0000-0001-8772-042X			A psychological approach to learning causal networks								HEALTH CARE MANAGEMENT SCIENCE				17	2			194	201		10.1007/s10729-013-9250-2					JUN 2014	2014										2	0	0	0	0	2			1386-9620	1572-9389		WOS:000341086500008	24048957	
J	Fraser, Kathleen C.; Meltzer, Jed A.; Graham, Naida L.; Leonard, Carol; Hirst, Graeme; Black, Sandra E.; Rochon, Elizabeth					Meltzer, Jed/0000-0002-4301-1901; Rochon, Elizabeth/0000-0001-5521-0513			Automated classification of primary progressive aphasia subtypes from narrative speech transcripts								CORTEX				55		SI		43	60		10.1016/j.cortex.2012.12.006					JUN 2014	2014										42	1	0	17	1	44			0010-9452	1973-8102		WOS:000337770700005	23332818	
J	Holshausen, Katherine; Harvey, Philip D.; Elvevag, Brita; Foltz, Peter W.; Bowie, Christopher R.								Latent semantic variables are associated with formal thought disorder and adaptive behavior in older inpatients with schizophrenia								CORTEX				55		SI		88	96		10.1016/j.cortex.2013.02.006					JUN 2014	2014										19	0	0	11	1	19			0010-9452	1973-8102		WOS:000337770700008	23510635	
J	Garrard, Peter; Rentoumi, Vassiliki; Gesierich, Benno; Miller, Bruce; Gorno-Tempini, Maria Luisa					Garrard, Peter/0000-0001-8268-9718			Machine learning approaches to diagnosis and laterality effects in semantic dementia discourse								CORTEX				55		SI		122	129		10.1016/j.cortex.2013.05.008					JUN 2014	2014										23	0	0	8	0	23			0010-9452	1973-8102		WOS:000337770700011	23876449	
J	Clark, D. G.; Kapur, P.; Geldmacher, D. S.; Brockington, J. C.; Harrell, L.; DeRamus, T. P.; Blanton, P. D.; Lokken, K.; Nicholas, A. P.; Marson, D. C.								Latent information in fluency lists predicts functional decline in persons at risk for Alzheimer disease								CORTEX				55		SI		202	218		10.1016/j.cortex.2013.12.013					JUN 2014	2014										10	0	0	5	0	10			0010-9452	1973-8102		WOS:000337770700017	24556551	
J	Van Horn, John Darrell; Bowman, Ian; Joshi, Shantanu H.; Greer, Vaughan					Van Horn, John/0000-0003-1537-0816			Graphical neuroimaging informatics: Application to Alzheimer's disease								BRAIN IMAGING AND BEHAVIOR				8	2	SI		300	310		10.1007/s11682-013-9273-9					JUN 2014	2014										0	0	0	0	0	0			1931-7557	1931-7565		WOS:000335765700013	24203652	
J	Whelan, Robert; Garavan, Hugh					Whelan, Robert/0000-0002-2790-7281			When Optimism Hurts: Inflated Predictions in Psychiatric Neuroimaging								BIOLOGICAL PSYCHIATRY				75	9			746	748		10.1016/j.biopsych.2013.05.014					MAY 1 2014	2014										58	0	0	36	0	58			0006-3223	1873-2402		WOS:000334102400012	23778288	
J	Wu, Qiang; Zhang, Liqing; Cichocki, Andrzej				Cichocki, Andrzej/A-1545-2015	Cichocki, Andrzej/0000-0002-8364-7226			Multifactor sparse feature extraction using Convolutive Nonnegative Tucker Decomposition								NEUROCOMPUTING				129		SI		17	24		10.1016/j.neucom.2013.04.049					APR 10 2014	2014						18th International Conference on Neural Information Processing (ICONIP)18th International Conference on Neural Information Processing (ICONIP)	NOV 13-17, 2011NOV 13-17, 2011	Asia Pacific Neural Network Assembly; Shanghai Jiao Tong Univ; Natl Nat Sci Fdn China; Shanghai Hyron Software Co Ltd; Microsoft Res Asia; Hitachi Res & Dev Corp; Fujitsu Res & Dev Ctr Co LtdAsia Pacific Neural Network Assembly; Shanghai Jiao Tong Univ; Natl Nat Sci Fdn China; Shanghai Hyron Software Co Ltd; Microsoft Res Asia; Hitachi Res & Dev Corp; Fujitsu Res & Dev Ctr Co Ltd	Shanghai, PEOPLES R CHINAShanghai, PEOPLES R CHINA	6	0	0	2	0	6			0925-2312	1872-8286		WOS:000332132400003		
J	Harispe, Sebastien; Sanchez, David; Ranwez, Sylvie; Janaqi, Stefan; Montmain, Jacky				Sanchez, David/B-5275-2012	Sanchez, David/0000-0001-7275-7887			A framework for unifying ontology-based semantic similarity measures: A study in the biomedical domain								JOURNAL OF BIOMEDICAL INFORMATICS				48				38	53		10.1016/j.jbi.2013.11.006					APR 2014	2014										46	2	1	13	0	48			1532-0464	1532-0480		WOS:000335429200005	24269894	
J	Lin, Chin-Teng; Chuang, Chun-Hsiang; Huang, Chih-Sheng; Tsai, Shu-Fang; Lu, Shao-Wei; Chen, Yen-Hsuan; Ko, Li-Wei				Lin, Chin-Teng (CT)/G-8129-2017; Chuang, Chun-Hsiang/H-4365-2016	Lin, Chin-Teng (CT)/0000-0001-8371-8197; Ko, Li-Wei/0000-0003-2529-3391; Chuang, Chun-Hsiang/0000-0002-5043-8380			Wireless and Wearable EEG System for Evaluating Driver Vigilance								IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS				8	2			165	176		10.1109/TBCAS.2014.2316224					APR 2014	2014										47	7	0	5	0	53			1932-4545	1940-9990		WOS:000337154000003	24860041	
J	Burnham, S. C.; Faux, N. G.; Wilson, W.; Laws, S. M.; Ames, D.; Bedo, J.; Bush, Ai; Doecke, J. D.; Ellis, K. A.; Head, R.; Jones, G.; Kiiveri, H.; Martins, R. N.; Rembach, A.; Rowe, C. C.; Salvado, O.; Macaulay, S. L.; Masters, C. L.; Villemagne, V. L.		Alzheimers Dis Neuroimaging; Australian Imaging Biomarkers		Faux, Noel/C-4423-2011; Doecke, James/A-5361-2009; Macaulay, Stuart Lance/A-6086-2008; Bourgeat, Pierrick/A-1419-2010; Wilson, William/A-3631-2009; Duesing, Konsta/H-2802-2013; Head, Richard/G-3918-2012; Bush, Ashley/A-1186-2007; Burnham, Samantha/E-6967-2010; Dore, Vincent/A-7750-2011; Salvado, Olivier/C-8910-2009; Kiiveri, Harri/E-5309-2010; Laws, Simon/C-2858-2014	Faux, Noel/0000-0003-4594-8818; Doecke, James/0000-0003-2863-0293; Macaulay, Stuart Lance/0000-0001-5069-9516; Bourgeat, Pierrick/0000-0002-2605-4766; Wilson, William/0000-0001-5658-0997; Duesing, Konsta/0000-0003-3103-0600; Head, Richard/0000-0002-1196-0926; Bush, Ashley/0000-0001-8259-9069; Burnham, Samantha/0000-0003-4805-5193; Dore, Vincent/0000-0002-8051-0558; Salvado, Olivier/0000-0002-2720-8739; Laws, Simon/0000-0002-4355-7082; Ellis, Kathryn/0000-0001-9097-9037; Jones, Gareth/0000-0002-7516-5526			A blood-based predictor for neocortical A beta burden in Alzheimer's disease: results from the AIBL study								MOLECULAR PSYCHIATRY				19	4			519	526		10.1038/mp.2013.40					APR 2014	2014										55	1	0	33	0	55			1359-4184	1476-5578		WOS:000333409100019	23628985	
J	Laursen, Anne Lise; Mousten, Birthe; Jensen, Vigdis; Kampf, Constance								Using an AD-HOC Corpus to Write About Emerging Technologies for Technical Writing and Translation: The Case of Search Engine Optimization								IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION				57	1			56	74		10.1109/TPC.2014.2307011					MAR 2014	2014										3	0	0	0	0	3			0361-1434	1558-1500		WOS:000335380400004		
J	Zhang, Xiaowei; Hu, Bin; Ma, Xu; Moore, Philip; Chen, Jing				Moore, Philip/F-3981-2019	Moore, Philip/0000-0003-3874-8981			Ontology driven decision support for the diagnosis of mild cognitive impairment								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				113	3			781	791		10.1016/j.cmpb.2013.12.073					MAR 2014	2014										18	1	0	5	0	18			0169-2607	1872-7565		WOS:000331726500007	24468160	
J	Segovia, Fermin; Bastin, Christine; Salmon, Eric; Goriz, Juan Manuel; Ramirez, Javier; Phillips, Christophe				Gorriz, Juan M./C-2385-2012; Ramirez, Javier/B-1836-2012; Segovia Roman, Fermin/M-3306-2014	Gorriz, Juan M./0000-0001-7069-1714; Ramirez, Javier/0000-0002-6229-2921; Segovia Roman, Fermin/0000-0003-1940-8834; Phillips, Christophe/0000-0002-4990-425X; Salmon, Eric/0000-0003-2520-9241; Bastin, Christine/0000-0002-4556-9490			Combining PET Images and Neuropsychological Test Data for Automatic Diagnosis of Alzheimer's Disease								PLOS ONE				9	2					e88687	10.1371/journal.pone.0088687					FEB 13 2014	2014										9	0	0	4	0	9			1932-6203			WOS:000331266000055	24551135	
J	Doctor, Faiyaz; Iqbal, Rahat; Naguib, Raouf N. G.					Iqbal, Rahat/0000-0002-5222-7122; Naguib, Raouf/0000-0001-6807-7993; Doctor, Faiyaz/0000-0002-8412-5489			A fuzzy ambient intelligent agents approach for monitoring disease progression of dementia patients								JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING				5	1			147	158		10.1007/s12652-012-0135-x					FEB 2014	2014										16	0	0	1	0	16			1868-5137	1868-5145		WOS:000351238800013		
J	Jie, Biao; Zhang, Daoqiang; Gao, Wei; Wang, Qian; Wee, Chong-Yaw; Shen, Dinggang					Wang, Qian/0000-0002-3490-3836			Integration of Network Topological and Connectivity Properties for Neuroimaging Classification								IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING				61	2			576	589		10.1109/TBME.2013.2284195					FEB 2014	2014										48	4	0	24	0	51			0018-9294	1558-2531		WOS:000333268000037	24108708	
J	Clark, D. G.; Wadley, V. G.; Kapur, P.; DeRamus, T. P.; Singletary, B.; Nicholas, A. P.; Blanton, P. D.; Lokken, K.; Deshpande, H.; Marson, D.; Deutsch, G.								Lexical factors and cerebral regions influencing verbal fluency performance in MCI								NEUROPSYCHOLOGIA				54				98	111		10.1016/j.neuropsychologia.2013.12.010					FEB 2014	2014										10	1	0	5	1	12			0028-3932	1873-3514		WOS:000331685200011	24384308	
J	Hoogenboom, Wouter S.; Perlis, Roy H.; Smoller, Jordan W.; Zeng-Treitler, Qing; Gainer, Vivian S.; Murphy, Shawn N.; Churchill, Susanne E.; Kohane, Isaac S.; Shenton, Martha E.; Iosifescu, Dan V.								Limbic system white matter microstructure and long-term treatment outcome in major depressive disorder: A diffusion tensor imaging study using legacy data								WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY				15	2			122	134		10.3109/15622975.2012.669499					FEB 2014	2014										21	2	0	16	0	21			1562-2975	1814-1412		WOS:000331132400005	22540406	
J	Danger, Roxana; Pla, Ferran; Molina, Antonio; Rosso, Paolo				Pla, Ferran/K-5468-2014	Pla, Ferran/0000-0003-4822-8808			Towards a Protein-Protein Interaction information extraction system: Recognizing named entities								KNOWLEDGE-BASED SYSTEMS				57				104	118		10.1016/j.knosys.2013.12.010					FEB 2014	2014										11	1	0	3	0	12			0950-7051	1872-7409		WOS:000331781300009		
J	Salvatore, C.; Cerasa, A.; Castiglioni, I.; Gallivanone, F.; Augimeri, A.; Lopez, M.; Arabia, G.; Morelli, M.; Gilardi, M. C.; Quattrone, A.				Salvatore, Christian/J-9828-2016; QUATTRONE, Aldo/A-6734-2016; cerasa, antonio/E-8614-2011	Salvatore, Christian/0000-0001-9312-4675; QUATTRONE, Aldo/0000-0003-2001-957X; cerasa, antonio/0000-0002-8022-4770; Castiglioni, Isabella/0000-0001-7191-5417; Gallivanone, Francesca/0000-0001-6559-6157; Morelli, Maurizio/0000-0002-7263-1229; Augimeri, Antonio/0000-0002-8683-9610; GILARDI, MARIA CARLA/0000-0002-5472-3509; Lopez, Miriam M./0000-0003-1593-3754			Machine learning on brain MRI data for differential diagnosis of Parkinson's disease and Progressive Supranuclear Palsy								JOURNAL OF NEUROSCIENCE METHODS				222				230	237		10.1016/j.jneumeth.2013.11.016					JAN 30 2014	2014										57	1	0	23	0	58			0165-0270	1872-678X		WOS:000331672000028	24286700	
S	Wang, Wei			IEEE					Big Data, Big Challenges								2014 IEEE INTERNATIONAL CONFERENCE ON SEMANTIC COMPUTING (ICSC)		IEEE International Conference on Semantic Computing						6	6		10.1109/ICSC.2014.65					2014	2014						8th IEEE International Conference on Semantic Computing8th IEEE International Conference on Semantic Computing	JUN 16-18, 2014JUN 16-18, 2014		Newport Beach, CANewport Beach, CA	0	0	0	0	0	0			2325-6516		978-1-4799-4003-5	WOS:000346176100003		
B	Haeser, Florian; Felderer, Michael; Breu, Ruth			IEEE					Test Process Improvement with Documentation Driven Integration Testing								2014 9th International Conference on the Quality of Information and Communications Technology (QUATIC)								156	161		10.1109/QUATIC.2014.29					2014	2014						9th International Conference on the Quality of Information and Communications Technology (QUATIC)9th International Conference on the Quality of Information and Communications Technology (QUATIC)	SEP 23-26, 2014SEP 23-26, 2014	Univ Porto, Fac Engn; Univ Minho,; Univ Nova Lisboa, Facu Ciencias Tecnologia; ISCTE IUL; Univ Lisboa, Inst Super Tecnico; INOVARIA; TICE pt; Centro Computacao Grafica; AIS SCUniv Porto, Fac Engn; Univ Minho,; Univ Nova Lisboa, Facu Ciencias Tecnologia; ISCTE IUL; Univ Lisboa, Inst Super Tecnico; INOVARIA; TICE pt; Centro Computacao Grafica; AIS SC	Univ Minho, Guimaraes, PORTUGALUniv Minho, Guimaraes, PORTUGAL	1	0	0	0	0	1					978-1-4799-6133-7	WOS:000364237700020		
S	Zhu, Jie; Shi, Jun; Liu, Xiao; Chen, Xin			IEEE					Co-Training Based Semi-supervised Classification of Alzheimer's Disease								2014 19TH INTERNATIONAL CONFERENCE ON DIGITAL SIGNAL PROCESSING (DSP)		International Conference on Digital Signal Processing						729	732							2014	2014						19th International Conference on Digital Signal Processing (DSP)19th International Conference on Digital Signal Processing (DSP)	AUG 20-23, 2014AUG 20-23, 2014		Hong Kong, PEOPLES R CHINAHong Kong, PEOPLES R CHINA	2	0	0	0	0	2			1546-1874		978-1-4799-4612-9	WOS:000361019500136		
B	Lin, Wei; Li, Juntao; Washington, Joseph; Rath, David; Skordas, Spyridon; Kirihata, Toshiaki; Winstel, Kevin; Peethala, Brown; Demarest, James; Song, Da; Edelstein, Daniel; Iyer, Subramanian				Shinkuma, Ryoichi/A-1708-2019	Shinkuma, Ryoichi/0000-0003-2842-8941	Suga, T; Takagi, H; Higurashi, E		Copper-to-Dielectric Heterogeneous Bonding for 3D Integration								2014 4TH IEEE INTERNATIONAL WORKSHOP ON LOW TEMPERATURE BONDING FOR 3D INTEGRATION (LTB-3D)								6	6							2014	2014						4th IEEE International Workshop on Low Temperature Bonding for 3D Integration (LTB-3D)4th IEEE International Workshop on Low Temperature Bonding for 3D Integration (LTB-3D)	JUL 15-16, 2014JUL 15-16, 2014	IEEE; IEEE Components Packaging & Mfg Technol Soc; Inst Adv Micro Syst Integrat; Japan Inst Elect Packaging; Natl Inst Adv Ind Sci & Technol; Nichia Corp; Murata Mfg Co Ltd; Namiki Pres Jewel Co Ltd; KYOCERA Crystal Device Corp; Asahi Glass Co Ltd; SHOTT MORITEX Corp; Tokyo Ohka Kogyo Co Ltd; Ayumi Ind Co Ltd; Musashino Engn Co Ltd; Lan Tech Serv Co Ltd; Hitachi High Tech Solut Corp; EV Grp; SUSS MicroTec KK; Bondtech Co Ltd; Marubeni Informat Syst; Mitsubishi Heavy Ind Ltd; Precise Measurement Technol Promot Fdn; Tokyo Ohka Fdn Promot Sci & Technol; SEN Engn Co LtdIEEE; IEEE Components Packaging & Mfg Technol Soc; Inst Adv Micro Syst Integrat; Japan Inst Elect Packaging; Natl Inst Adv Ind Sci & Technol; Nichia Corp; Murata Mfg Co Ltd; Namiki Pres Jewel Co Ltd; KYOCERA Crystal Device Corp; Asahi Glass Co Ltd; SHOTT MORITEX Corp; Tokyo Ohka Kogyo Co Ltd; Ayumi Ind Co Ltd; Musashino Engn Co Ltd; Lan Tech Serv Co Ltd; Hitachi High Tech Solut Corp; EV Grp; SUSS MicroTec KK; Bondtech Co Ltd; Marubeni Informat Syst; Mitsubishi Heavy Ind Ltd; Precise Measurement Technol Promot Fdn; Tokyo Ohka Fdn Promot Sci & Technol; SEN Engn Co Ltd	Univ Tokyo, Tokyo, JAPANUniv Tokyo, Tokyo, JAPAN	0	0	0	0	0	0					978-1-4799-5261-8	WOS:000361020500005		
